date,country,state_region,township,site,population_group,sector,subsector,partner,delivery_channel,urgency,severity,people_in_need,people_reached,funding_required_usd,funding_received_usd,incidents_reported,access_constraint,latitude,longitude
2025-11-03,Myanmar,Shan,Lashio,Lashio Site 6,Returnees,Shelter,NFIs,Medical Relief Hub,Cash Transfer,Critical,4,1106,427,71837.29,48378.09,6,Administrative Delay,22.9256,97.765
2025-09-06,Myanmar,Rakhine,Sittwe,Sittwe Site 3,IDPs,Education,School Supplies,Local CSO One,Cash Transfer,High,4,546,300,17343.96,14684.1,4,None,20.1986,92.9285
2025-09-15,Thailand,Chiang Mai,Fang,Fang Site 3,Refugees,WASH,Sanitation Repair,Local CSO One,Camp Distribution,High,4,1249,572,22846.59,10600.01,3,Administrative Delay,19.9538,99.2868
2025-11-08,Myanmar,Sagaing,Kale,Kale Site 6,Conflict-Affected Villages,Education,Temporary Learning,INGO Bridge,Mobile Team,High,3,1124,476,69389.14,24845.19,2,Weather,23.0986,94.0917
2025-03-13,Thailand,Chiang Mai,Mae Ai,Mae Ai Site 1,Host Community,Protection,Legal Aid,Community Network,Mobile Team,Medium,2,660,387,30242.93,27600.65,2,Administrative Delay,19.9243,99.1882
2025-09-01,Thailand,Tak,Mae Sot,Mae Sot Site 2,IDPs,Shelter,Emergency Shelter,UN Agency A,Door-to-Door,High,3,723,365,28331.84,22567.0,4,Administrative Delay,16.7514,98.4976
2025-07-07,Myanmar,Rakhine,Maungdaw,Maungdaw Site 4,Returnees,Health,Vaccination,UN Agency A,Mobile Team,Low,1,1167,984,47680.63,18398.4,0,None,20.8476,92.4169
2025-10-22,Thailand,Kanchanaburi,Sai Yok,Sai Yok Site 1,Returnees,Education,Temporary Learning,Border Aid Alliance,Cash Transfer,Medium,3,817,526,45499.51,32302.0,3,Weather,14.3592,98.967
2026-01-07,Myanmar,Shan,Kengtung,Kengtung Site 2,Host Community,Shelter,Camp Repair,Medical Relief Hub,School-Based,High,4,879,380,53854.59,43514.21,4,Security Incident,21.3798,99.637
2025-05-28,Myanmar,Shan,Lashio,Lashio Site 5,Host Community,WASH,Sanitation Repair,UN Agency A,School-Based,High,3,822,400,22777.25,11453.33,2,Security Incident,23.0474,97.8213
2026-02-10,Thailand,Kanchanaburi,Sai Yok,Sai Yok Site 1,Refugees,Shelter,Camp Repair,Community Network,Clinic Outreach,Critical,4,1035,409,32727.15,19019.27,6,Security Incident,14.3402,98.9287
2025-05-07,Myanmar,Sagaing,Shwebo,Shwebo Site 4,IDPs,Food Security,Cash Assistance,Community Network,Mobile Team,Medium,2,3061,1864,136697.05,69299.68,1,Security Incident,22.6546,95.6692
2025-08-07,Myanmar,Sagaing,Kale,Kale Site 3,IDPs,WASH,Clean Water,INGO Bridge,Cash Transfer,Low,1,456,388,26703.18,19597.6,1,Administrative Delay,23.2598,94.1612
2025-12-28,Myanmar,Kachin,Bhamo,Bhamo Site 6,Conflict-Affected Villages,Shelter,Emergency Shelter,Medical Relief Hub,Camp Distribution,Medium,2,1777,918,78158.22,28658.4,0,Administrative Delay,24.2655,97.2671
2025-05-13,Thailand,Tak,Mae Sot,Mae Sot Site 2,Returnees,Protection,Legal Aid,Medical Relief Hub,Door-to-Door,Low,2,899,593,26257.54,11445.39,2,Security Incident,16.6315,98.6279
2025-01-07,Thailand,Mae Hong Son,Mae Hong Son,Mae Hong Son Site 1,Conflict-Affected Villages,WASH,Sanitation Repair,INGO Bridge,Cash Transfer,Critical,5,1825,590,42766.48,21229.83,5,Road Closure,19.2194,98.0484
2025-04-03,Thailand,Mae Hong Son,Pai,Pai Site 4,Refugees,Food Security,Food Basket,Local CSO One,School-Based,High,4,2337,1144,58911.9,38768.42,4,Security Incident,19.4473,98.3846
2026-02-08,Myanmar,Sagaing,Shwebo,Shwebo Site 3,Host Community,WASH,Clean Water,INGO Bridge,Mobile Team,Medium,2,1831,1097,76657.09,50323.13,3,None,22.4753,95.7612
2026-02-09,Thailand,Mae Hong Son,Pai,Pai Site 2,Returnees,Protection,Child Protection,INGO Bridge,Camp Distribution,High,3,944,503,50768.46,23109.33,1,None,19.3428,98.5396
2025-12-09,Myanmar,Kachin,Myitkyina,Myitkyina Site 5,Host Community,Education,Temporary Learning,Community Network,Clinic Outreach,Medium,2,1202,832,36678.07,16931.75,1,Weather,25.2657,97.4461
2025-07-07,Myanmar,Shan,Kengtung,Kengtung Site 1,Returnees,Protection,GBV Support,Community Network,Mobile Team,Low,1,669,541,26079.38,9529.02,1,Weather,21.2691,99.6395
2025-03-10,Myanmar,Shan,Taunggyi,Taunggyi Site 1,Returnees,WASH,Sanitation Repair,UN Agency A,Mobile Team,Low,1,644,414,37910.82,29580.25,0,None,20.717,96.9571
2025-03-05,Thailand,Kanchanaburi,Sai Yok,Sai Yok Site 1,IDPs,Shelter,Emergency Shelter,Community Network,School-Based,Medium,2,1335,943,48421.79,29163.98,4,Weather,14.4394,98.8022
2025-09-27,Myanmar,Sagaing,Monywa,Monywa Site 2,Returnees,Education,School Supplies,Community Network,Clinic Outreach,High,3,901,464,31650.6,21157.76,5,None,22.1832,95.0946
2025-08-10,Myanmar,Rakhine,Sittwe,Sittwe Site 4,IDPs,Health,Primary Care,Border Aid Alliance,School-Based,Medium,2,1250,693,24815.86,10368.72,2,None,20.0597,93.0111
2025-03-27,Myanmar,Rakhine,Buthidaung,Buthidaung Site 3,IDPs,Shelter,Camp Repair,Community Network,Camp Distribution,Medium,3,913,606,28756.64,17900.57,4,Security Incident,20.9769,92.6344
2025-04-24,Thailand,Mae Hong Son,Khun Yuam,Khun Yuam Site 5,Returnees,Protection,GBV Support,Medical Relief Hub,Clinic Outreach,Low,2,941,809,24115.8,22216.61,0,None,18.8753,97.9244
2025-06-16,Thailand,Chiang Mai,Mae Ai,Mae Ai Site 1,IDPs,Food Security,Nutrition Support,UN Agency A,School-Based,Critical,5,1149,413,74107.53,46025.5,7,Administrative Delay,20.0908,99.2319
2025-08-02,Thailand,Chiang Mai,Fang,Fang Site 3,Conflict-Affected Villages,Health,Vaccination,Border Aid Alliance,Cash Transfer,Medium,3,751,397,27548.33,26053.96,2,None,19.9588,99.2446
2026-02-06,Thailand,Tak,Tha Song Yang,Tha Song Yang Site 3,Returnees,WASH,Hygiene Kits,Medical Relief Hub,School-Based,High,3,1097,547,61145.43,37383.55,4,None,17.5011,98.0962
2025-04-29,Myanmar,Kachin,Bhamo,Bhamo Site 2,Returnees,Food Security,Cash Assistance,UN Agency A,Mobile Team,Low,2,1044,831,37904.85,21402.11,0,Road Closure,24.3625,97.2592
2025-06-29,Thailand,Tak,Phop Phra,Phop Phra Site 4,Returnees,Protection,GBV Support,Border Aid Alliance,School-Based,Critical,5,359,146,16373.25,10259.99,7,Security Incident,16.3964,98.6517
2025-02-17,Myanmar,Kachin,Bhamo,Bhamo Site 3,Conflict-Affected Villages,Food Security,Food Basket,Border Aid Alliance,Clinic Outreach,High,4,1393,609,66327.16,47216.75,3,None,24.218,97.1313
2025-11-20,Myanmar,Sagaing,Monywa,Monywa Site 6,Conflict-Affected Villages,Health,Maternal Health,Medical Relief Hub,Mobile Team,High,3,1264,704,75955.71,50024.55,2,None,22.1857,95.0869
2025-04-12,Thailand,Tak,Mae Sot,Mae Sot Site 1,IDPs,Health,Primary Care,INGO Bridge,School-Based,Medium,3,979,523,28585.19,14729.05,0,None,16.6343,98.629
2025-11-18,Myanmar,Rakhine,Maungdaw,Maungdaw Site 1,IDPs,Food Security,Cash Assistance,Community Network,Mobile Team,Medium,2,2251,1218,41170.06,35825.86,3,Road Closure,20.7427,92.3965
2025-08-03,Thailand,Kanchanaburi,Sangkhla Buri,Sangkhla Buri Site 6,Conflict-Affected Villages,Food Security,Cash Assistance,Local CSO One,Cash Transfer,Critical,4,2074,658,132036.5,61566.01,7,Road Closure,15.0936,98.4272
2025-02-28,Thailand,Kanchanaburi,Thong Pha Phum,Thong Pha Phum Site 1,Host Community,WASH,Sanitation Repair,INGO Bridge,Cash Transfer,Medium,3,2106,1216,53338.64,41258.65,2,None,14.7202,98.5286
2025-05-19,Myanmar,Sagaing,Shwebo,Shwebo Site 2,Returnees,WASH,Clean Water,Border Aid Alliance,Cash Transfer,Medium,3,1476,785,75577.46,38276.65,3,Weather,22.6474,95.7732
2025-10-28,Thailand,Mae Hong Son,Pai,Pai Site 1,Conflict-Affected Villages,Health,Vaccination,Local CSO One,Door-to-Door,High,3,1858,978,101221.02,49490.89,4,None,19.3843,98.3717
2025-02-25,Myanmar,Kachin,Putao,Putao Site 6,Returnees,Health,Primary Care,Local CSO One,Camp Distribution,High,4,1462,753,69511.05,60325.73,2,Administrative Delay,27.3953,97.343
2025-04-01,Myanmar,Kachin,Putao,Putao Site 4,IDPs,Education,Teacher Support,Border Aid Alliance,Cash Transfer,Medium,3,835,530,23632.18,17876.59,3,None,27.4052,97.4625
2025-11-08,Myanmar,Sagaing,Monywa,Monywa Site 6,IDPs,Protection,GBV Support,Border Aid Alliance,Door-to-Door,Critical,5,545,224,12675.6,8308.62,4,Security Incident,22.1784,95.0508
2025-01-22,Myanmar,Shan,Kengtung,Kengtung Site 2,Returnees,Education,Temporary Learning,Medical Relief Hub,Door-to-Door,High,3,1212,688,61213.47,48552.47,3,Weather,21.2067,99.6866
2025-11-18,Thailand,Tak,Phop Phra,Phop Phra Site 5,Refugees,Shelter,Emergency Shelter,UN Agency A,Door-to-Door,High,3,744,309,25904.45,15464.51,3,None,16.5476,98.6995
2025-06-09,Myanmar,Shan,Kengtung,Kengtung Site 2,Refugees,Health,Vaccination,Border Aid Alliance,Cash Transfer,Low,2,934,730,21990.7,13299.56,0,Administrative Delay,21.3497,99.6576
2025-12-13,Myanmar,Sagaing,Shwebo,Shwebo Site 3,IDPs,WASH,Hygiene Kits,INGO Bridge,Mobile Team,Low,2,1240,800,41230.15,26024.29,0,None,22.6462,95.6075
2025-03-28,Myanmar,Rakhine,Sittwe,Sittwe Site 4,IDPs,Education,Teacher Support,Local CSO One,Door-to-Door,High,4,1045,425,63974.02,47129.92,5,Security Incident,20.1386,93.0136
2026-01-10,Thailand,Mae Hong Son,Mae Hong Son,Mae Hong Son Site 4,Refugees,WASH,Hygiene Kits,INGO Bridge,Door-to-Door,High,4,886,414,25535.07,11026.19,5,Administrative Delay,19.215,97.8551
2026-03-05,Thailand,Mae Hong Son,Mae Hong Son,Mae Hong Son Site 6,Host Community,Health,Primary Care,Medical Relief Hub,Cash Transfer,Medium,3,1104,662,70193.64,28343.96,1,None,19.1916,97.9845
2025-08-14,Thailand,Mae Hong Son,Mae Hong Son,Mae Hong Son Site 5,Conflict-Affected Villages,Shelter,Emergency Shelter,Local CSO One,Mobile Team,High,3,1873,817,97514.62,56294.57,4,None,19.3552,97.8492
2026-02-16,Thailand,Mae Hong Son,Pai,Pai Site 4,Host Community,Protection,Legal Aid,INGO Bridge,Cash Transfer,Critical,5,464,157,22668.9,9175.03,5,Weather,19.2587,98.3984
2025-09-29,Myanmar,Shan,Taunggyi,Taunggyi Site 1,Refugees,Education,Teacher Support,Local CSO One,School-Based,High,3,776,339,46427.84,31518.39,4,None,20.8262,97.0207
2026-03-05,Thailand,Tak,Mae Sot,Mae Sot Site 4,Refugees,Protection,GBV Support,INGO Bridge,School-Based,High,4,740,365,30961.63,26414.27,3,Administrative Delay,16.7241,98.5071
2025-11-17,Myanmar,Sagaing,Kale,Kale Site 2,Conflict-Affected Villages,Shelter,Emergency Shelter,INGO Bridge,Clinic Outreach,High,3,957,487,26812.54,14209.52,4,Security Incident,23.1574,93.9711
2025-08-07,Myanmar,Shan,Kengtung,Kengtung Site 3,Refugees,WASH,Sanitation Repair,Local CSO One,Door-to-Door,High,3,804,376,32949.88,27675.5,3,None,21.2075,99.6715
2025-07-02,Thailand,Tak,Mae Sot,Mae Sot Site 3,Returnees,Food Security,Nutrition Support,Medical Relief Hub,Mobile Team,High,3,2669,1169,117568.31,61608.26,5,Security Incident,16.8188,98.6088
2025-07-14,Myanmar,Kachin,Putao,Putao Site 3,Host Community,Health,Primary Care,Local CSO One,Camp Distribution,Medium,2,1520,989,55404.82,35207.23,4,None,27.4526,97.4794
2025-08-18,Thailand,Mae Hong Son,Khun Yuam,Khun Yuam Site 5,Refugees,WASH,Clean Water,Community Network,School-Based,Low,1,970,688,17733.0,12368.71,0,None,18.8289,97.9004
2025-01-11,Myanmar,Sagaing,Kale,Kale Site 6,Refugees,WASH,Hygiene Kits,Local CSO One,Mobile Team,High,3,2310,976,63211.92,38290.7,2,Road Closure,23.0742,93.965
